"AreaName","AreaCode","Value"
"Barking and Dagenham","E09000002",14.90886696
"Barnet","E09000003",12.57758319
"Barnsley","E08000016",20.2002604
"Bath and North East Somerset","E06000022",14.90707393
"Bedford","E06000055",16.18423982
"Bexley","E09000004",14.73535322
"Birmingham","E08000025",16.9632357
"Blackburn with Darwen","E06000008",17.09124817
"Blackpool","E06000009",26.07933045
"Bolton","E08000001",18.12418704
"Bournemouth, Christchurch and Poole","E06000058",16.76281619
"Bracknell Forest","E06000036",13.39420635
"Bradford","E08000032",17.10587659
"Brent","E09000005",12.38105458
"Brighton and Hove","E06000043",15.23581389
"Bristol","E06000023",14.3906695
"Bromley","E09000006",14.5775596
"Buckinghamshire UA","E06000060",15.38460395
"Bury","E08000002",19.00275792
"Calderdale","E08000033",18.71640869
"Cambridgeshire","E10000003",15.79546787
"Camden","E09000007",11.51219022
"Central Bedfordshire","E06000056",15.77848568
"Cheshire East","E06000049",18.74377005
"Cheshire West and Chester","E06000050",20.04274623
"City of London","E09000001",NA
"Cornwall","E06000052",21.13355547
"County Durham","E06000047",23.25504507
"Coventry","E08000026",15.23804817
"Croydon","E09000008",14.4787201
"Cumbria","E10000006",20.95050901
"Darlington","E06000005",18.52926201
"Derby","E06000015",17.42858566
"Derbyshire","E10000007",20.90600595
"Devon","E10000008",18.96290584
"Doncaster","E08000017",22.19098495
"Dorset","E06000059",20.85410997
"Dudley","E08000027",22.08678954
"Ealing","E09000009",10.44622717
"East Riding of Yorkshire","E06000011",22.42172707
"East Sussex","E10000011",20.1678074
"Enfield","E09000010",14.54933207
"Essex","E10000012",18.81222299
"Gateshead","E08000037",22.39365719
"Gloucestershire","E10000013",17.98163258
"Greenwich","E09000011",12.94808873
"Hackney","E09000012",11.78959783
"Halton","E06000006",21.87951507
"Hammersmith and Fulham","E09000013",12.9580734
"Hampshire","E10000014",17.02958911
"Haringey","E09000014",12.11509886
"Harrow","E09000015",12.33660382
"Hartlepool","E06000001",25.75047473
"Havering","E09000016",19.04728791
"Herefordshire","E06000019",18.2594308
"Hertfordshire","E10000015",15.63499703
"Hillingdon","E09000017",12.75982821
"Hounslow","E09000018",10.92468095
"Isle of Wight","E06000046",23.22073197
"Isles of Scilly","E06000053",NA
"Islington","E09000019",11.93602548
"Kensington and Chelsea","E09000020",12.44196059
"Kent","E10000016",18.93327167
"Kingston upon Hull","E06000010",18.72270063
"Kingston upon Thames","E09000021",12.66029824
"Kirklees","E08000034",18.70566121
"Knowsley","E08000011",24.04477884
"Lambeth","E09000022",11.16868018
"Lancashire","E10000017",20.45310891
"Leeds","E08000035",16.86024597
"Leicester","E06000016",13.38952291
"Leicestershire","E10000018",17.89472737
"Lewisham","E09000023",13.04745682
"Lincolnshire","E10000019",22.18569026
"Liverpool","E08000012",18.8843716
"Luton","E06000032",14.67658801
"Manchester","E08000003",14.38335263
"Medway","E06000035",18.41059121
"Merton","E09000024",11.56974346
"Middlesbrough","E06000002",19.61576641
"Milton Keynes","E06000042",16.66339342
"Newcastle upon Tyne","E08000021",17.66258183
"Newham","E09000025",12.53602151
"Norfolk","E10000020",19.72194403
"North East Lincolnshire","E06000012",20.68954404
"North Lincolnshire","E06000013",22.73654986
"North Northamptonshire","E06000061",20.38531111
"North Somerset","E06000024",21.87286445
"North Tyneside","E08000022",20.74363952
"North Yorkshire Cty","E10000023",20.87188231
"Northumberland","E06000057",22.9844638
"Nottingham","E06000018",15.58160529
"Nottinghamshire","E10000024",20.43639949
"Oldham","E08000004",19.56537822
"Oxfordshire","E10000025",14.28912858
"Peterborough","E06000031",18.88735421
"Plymouth","E06000026",18.31175446
"Portsmouth","E06000044",13.78956863
"Reading","E06000038",11.73446069
"Redbridge","E09000026",12.83832126
"Redcar and Cleveland","E06000003",25.87979259
"Richmond upon Thames","E09000027",13.1104826
"Rochdale","E08000005",21.45328846
"Rotherham","E08000018",22.04690155
"Rutland","E06000017",21.04949062
"Salford","E08000006",15.56981527
"Sandwell","E08000028",19.63816443
"Sefton","E08000014",21.0980983
"Sheffield","E08000019",17.19206635
"Shropshire","E06000051",19.74559178
"Slough","E06000039",11.86449091
"Solihull","E08000029",20.78082372
"Somerset Cty","E10000027",19.06588079
"South Gloucestershire","E06000025",15.67177289
"South Tyneside","E08000023",22.87553335
"Southampton","E06000045",14.90105594
"Southend-on-Sea","E06000033",19.26946514
"Southwark","E09000028",13.61697374
"St. Helens","E08000013",22.7848458
"Staffordshire","E10000028",20.83704098
"Stockport","E08000007",18.34630214
"Stockton-on-Tees","E06000004",22.67407975
"Stoke-on-Trent","E06000021",21.87895814
"Suffolk","E10000029",17.9250425
