"UTLA22NM","AreaCode","Value"
"Barking and Dagenham","E09000002",0.285983666146945
"Barnet","E09000003",0.249960292575618
"Barnsley","E08000016",0.291379973057088
"Bath and North East Somerset","E06000022",0.182244220352813
"Bedford","E06000055",0.215628544482275
"Bexley","E09000004",0.21623873549
"Birmingham","E08000025",0.294565464505281
"Blackburn with Darwen","E06000008",0.27205617679173
"Blackpool","E06000009",0.275170665842336
"Bolton","E08000001",0.28657902615359
"Bournemouth, Christchurch and Poole","E06000058",0.201609247372105
"Bracknell Forest","E06000036",0.2483903826644
"Bradford","E08000032",0.279507611249166
"Brent","E09000005",0.23705819637667
"Brighton and Hove","E06000043",0.267090055180751
"Bristol","E06000023",0.257738513580951
"Bromley","E09000006",0.200968430468141
"Buckinghamshire UA","E06000060",0.142865547283189
"Bury","E08000002",0.231552558791617
"Calderdale","E08000033",0.207525498215689
"Cambridgeshire","E10000003",0.19424259199055
"Camden","E09000007",0.343645986425225
"Central Bedfordshire","E06000056",0.197419387627747
"Cheshire East","E06000049",0.174268675131954
"Cheshire West and Chester","E06000050",0.225738990278785
"City of London","E09000001",0.300803392488379
"Cornwall","E06000052",0.206070313011096
"County Durham","E06000047",0.300739005226415
"Coventry","E08000026",0.300600493606192
"Croydon","E09000008",0.236147676228601
"Cumbria","E10000006",0.233304715187952
"Darlington","E06000005",0.250339096737421
"Derby","E06000015",0.264482347740165
"Derbyshire","E10000007",0.232753067831009
"Devon","E10000008",0.198913790830669
"Doncaster","E08000017",0.257306769340253
"Dorset","E06000059",0.186726660718636
"Dudley","E08000027",0.241756989714882
"Ealing","E09000009",0.251354499737915
"East Riding of Yorkshire","E06000011",0.186822380694762
"East Sussex","E10000011",0.235226145227254
"Enfield","E09000010",0.23598443945329
"Essex","E10000012",0.216962307462078
"Gateshead","E08000037",0.286137042199103
"Gloucestershire","E10000013",0.204874295915442
"Greenwich","E09000011",0.265401865700491
"Hackney","E09000012",0.345343923616931
"Halton","E06000006",0.315493574326686
"Hammersmith and Fulham","E09000013",0.349328877181655
"Hampshire","E10000014",0.202675477862923
"Haringey","E09000014",0.279562621417406
"Harrow","E09000015",0.228865147514762
"Hartlepool","E06000001",0.301440401211982
"Havering","E09000016",0.211156378106465
"Herefordshire","E06000019",0.201917151403634
"Hertfordshire","E10000015",0.188282578296416
"Hillingdon","E09000017",0.235734317528197
"Hounslow","E09000018",0.231153756668021
"Isle of Wight","E06000046",0.244780914861906
"Isles of Scilly","E06000053",0.158618227732695
"Islington","E09000019",0.301735486600056
"Kensington and Chelsea","E09000020",0.312303105056218
"Kent","E10000016",0.235845379535963
"Kingston upon Hull","E06000010",0.304875694927928
"Kingston upon Thames","E09000021",0.174911231535208
"Kirklees","E08000034",0.247929421188577
"Knowsley","E08000011",0.377616092623246
"Lambeth","E09000022",0.307822228897808
"Lancashire","E10000017",0.231761982657708
"Leeds","E08000035",0.254684425964831
"Leicester","E06000016",0.316217327063761
"Leicestershire","E10000018",0.201613265753655
"Lewisham","E09000023",0.248721246494478
"Lincolnshire","E10000019",0.214702530631282
"Liverpool","E08000012",0.377238508967434
"Luton","E06000032",0.209210708860776
"Manchester","E08000003",0.363220843058822
"Medway","E06000035",0.279180445703711
"Merton","E09000024",0.229529096715899
"Middlesbrough","E06000002",0.318895826224455
"Milton Keynes","E06000042",0.261418777619367
"Newcastle upon Tyne","E08000021",0.341174214787175
"Newham","E09000025",0.312779409180027
"Norfolk","E10000020",0.208748232828942
"North East Lincolnshire","E06000012",0.205419775078491
"North Lincolnshire","E06000013",0.236809529455952
"North Northamptonshire","E06000061",0.212544567086123
"North Somerset","E06000024",0.22562632096319
"North Tyneside","E08000022",0.248400072278119
"North Yorkshire Cty","E10000023",0.203710020659555
"Northumberland","E06000057",0.258825983064575
"Nottingham","E06000018",0.331367547737966
"Nottinghamshire","E10000024",0.228124569394023
"Oldham","E08000004",0.300893271646771
"Oxfordshire","E10000025",0.196132694508156
"Peterborough","E06000031",0.234832642219641
"Plymouth","E06000026",0.268273771814998
"Portsmouth","E06000044",0.284818545876919
"Reading","E06000038",0.223404098394273
"Redbridge","E09000026",0.235798510091056
"Redcar and Cleveland","E06000003",0.240068166742291
"Richmond upon Thames","E09000027",0.215389449636238
"Rochdale","E08000005",0.31178612919727
"Rotherham","E08000018",0.27750942999984
"Rutland","E06000017",0.178245789056597
