"","transition","probability"
"1","jobstartprob23",0.0475090164507484
"2","jobstartprob45",0.0238616481127741
"3","jobstartprob67",0.737515699617924
"4","jobstartprob89",0.0326456108841188
"5","jobstartprob1011",0.852045614100353
"6","jobstartprob1213",0.167925875479043
"7","jobstartprob1415",0.794788867684792
"8","jobstartprob1617",0.0361963229939897
"9","jobstartprob1819",0.830594747384685
"10","jobstartprob2021",0.150658147274417
"11","jobstartprob2223",0.794663308173442
"12","jobstartprob2425",0.263037914963322
"13","jobstartprob2627",0.758111814027662
"14","jobstartprob2829",0.220255143471339
"15","jobstartprob3031",0.840879116658319
