"","transition","probability"
"1","jobstartprob23",0.0360120582406275
"2","jobstartprob45",0.0192064390609669
"3","jobstartprob67",0.7485296236642
"4","jobstartprob89",0.0211947174736097
"5","jobstartprob1011",0.73102961914009
"6","jobstartprob1213",0.293086615692744
"7","jobstartprob1415",0.825045001506052
"8","jobstartprob1617",0.0154733478337976
"9","jobstartprob1819",0.905704075257544
"10","jobstartprob2021",0.320481986856885
"11","jobstartprob2223",0.895121206391545
"12","jobstartprob2425",0.180966141501248
"13","jobstartprob2627",0.786430662164683
"14","jobstartprob2829",0.433369795242953
"15","jobstartprob3031",0.946599666924038
