"","transition","probability"
"1","jobstartprob23",0.024115711628455
"2","jobstartprob45",0.0121259498188527
"3","jobstartprob67",0.88825533364397
"4","jobstartprob89",0.0133288857426273
"5","jobstartprob1011",1
"6","jobstartprob1213",0.523947733389645
"7","jobstartprob1415",0.899813257179687
"8","jobstartprob1617",0.034572321090593
"9","jobstartprob1819",0.913774176525766
"10","jobstartprob2021",NA
"11","jobstartprob2223",0.547115468878677
"12","jobstartprob2425",0
"13","jobstartprob2627",1
"14","jobstartprob2829",0
"15","jobstartprob3031",1
